Num of Recipients,Year,Month,Open Rate,Clicks
529,2018,May ,22.6,1.1
520,2018,April,26.7,2.3
503,2018,March,28.5,5
492,2018,Feb,29.8,6.4
476,2018,Jan,30.4,5
437,2017,Nov,30.7,4.6
